gene,cluster_id,logFC,logCPM,F,p_adj_val,p_adj.loc,p_adj.glb,contrast
PCCA-AS1,Ast,-0.792594271764673,1.75150859944469,6.28749958674464,0.0140982699061567,0.282794396401465,0.304700669166893,High_vs_Not_AD
AL356966.1,Ast,0.827305024263554,0.857807765684424,8.35479921677936,0.00483684659187091,0.21829220072916,0.25231088441216,High_vs_Not_AD
FGF14-AS1,Ast,-1.18250126372598,-0.18098175981794,8.86296543127177,0.00356514990674232,0.19112774171613,0.234765944410198,High_vs_Not_AD
LINC00551,Ast,0.715455309738163,3.1853580084347,8.12388533208191,0.00552043053580985,0.22741389523869,0.25999910409564,High_vs_Not_AD
TMEM255B,Ast,-0.534984218883898,2.66826070016131,5.58406319235085,0.0204864898151556,0.312045528829265,0.326070739170881,High_vs_Not_AD
POTEG,Ast,2.08588745262554,1.3737106675991,16.0462510628368,0.000128609781178287,0.0709104318502174,0.0964952504091005,High_vs_Not_AD
AL355075.4,Ast,1.25415446283674,1.92145404721357,7.28566839577542,0.00842818275834473,0.255563859904256,0.283432672818234,High_vs_Not_AD
SLC7A8,Ast,-0.526189943431488,2.73009248230327,5.29349564497297,0.0239388305485745,0.327151716150994,0.334361705823982,High_vs_Not_AD
RNF212B,Ast,-1.2012964932527,2.80069175979631,8.07989088008465,0.00564310356218349,0.229663900473374,0.262726586027691,High_vs_Not_AD
LTB4R,Ast,-0.752080605250863,0.721500804515645,8.01537903356868,0.00570982342014687,0.229663900473374,0.263268040363362,High_vs_Not_AD
NYNRIN,Ast,0.580640553135998,1.98142428060123,8.05361968622679,0.00571511200974919,0.229663900473374,0.263268040363362,High_vs_Not_AD
AL110292.1,Ast,-1.13297416263843,1.61484888494316,9.29858897785856,0.0030635961038791,0.177756614509152,0.225945110562075,High_vs_Not_AD
COCH,Ast,-0.508937714558646,0.397574677375311,5.2712099984969,0.0238745086920327,0.327151716150994,0.334151114937542,High_vs_Not_AD
AL161665.1,Ast,-0.739892706346988,2.09488417512616,5.37835956262222,0.0228591215109565,0.322706995404828,0.3303663996651,High_vs_Not_AD
AL161851.1,Ast,-0.784981380777534,0.115915581879365,5.40203820142152,0.0220953697119435,0.320899433702588,0.329504914891909,High_vs_Not_AD
SPTSSA,Ast,0.587675148367028,3.5791094276527,6.67994606093627,0.0115147716965992,0.273048146072851,0.298361970901725,High_vs_Not_AD
NFKBIA,Ast,0.7506382169925,4.85019718673437,7.81536218726914,0.00644241113189403,0.240367328114595,0.269321070378818,High_vs_Not_AD
AL133304.3,Ast,-0.734997166998424,5.21250679298596,4.72578949404735,0.0325791302752944,0.35278950181905,0.355053652447363,High_vs_Not_AD
PTCSC3,Ast,-1.17479376587003,4.21787467400933,5.08670692487099,0.0267607852430992,0.332350656587937,0.341626563833865,High_vs_Not_AD
SFTA3,Ast,-1.09382340099658,1.12785355922562,7.34023251288659,0.00812320554193655,0.255563859904256,0.281945123521712,High_vs_Not_AD
