Mic	Oli	Ast	OPC	Inh	Ext
MSX2	0	0	100	0	26.7505596062728	0
EMX1	0	0	100	2.57031050989836	74.6446376144181	0
ZFHX2	0	0	100	3.13418028469541	7.95041646763428	0
RAX	0	0	100	0	20.5373813719638	0
EN2	0	0	100	1.24255850891734	30.7587754150892	0
HOXB3	0	0	100	0	49.2537098814902	0
HOXA2	0	0	100	0	46.62471784419	0
REST	0	0.995326809633202	100	70.0757812796802	0	0
EMX2	0	0	100	0	84.7700420243297	0
HIC1	0	2.35973967193176	100	35.5632959327684	0	0
HOXB2	0	0	100	0	65.6860877658425	0
ZFHX3	0	0	100	1.65358216482689	59.6987986467905	0
HOXB5	0	0	100	0	47.6058178983319	0
MSX1	0	0	100	0	43.6159135098988	0
HOXA4	0	0	100	6.64682773271233	46.0311925844775	0
NKX62	0	0	100	0	32.3369116649394	0
OTP	0	0	100	1.06977562779528	49.536405659531	0
MNX1	0	0	100	0	37.790659778176	0
LMX1B	0	0	100	0	28.0724233234618	0
NKX63	0	0	100	0	85.8890016203436	0
VENTX	0	0	100	0	60.0189654918376	0
HOXA6	0	0	100	0	76.4394427992857	0
TLX2	0	0	100	0	17.2526911462361	0
UBP1	0	0	100	0	20.223301956984	24.9080915018847
KLF12	0	14.6407598025096	100	79.9179087973479	0	44.1817442000232
RORC	0	0	100	0	0	0
RFX1	0	0	100	0	0	26.9111813356794
LHX5	0	1.48105853133181	100	0	27.4659127294913	0
LHX1	0	1.48105853133181	100	0	27.4659127294913	0
DLX3	0	0	100	0	32.8047124265139	0
DLX2	0	0	100	0	32.8047124265139	0
HOXC5	0	0.308749765858044	100	3.77270898393528	40.7283204093522	0
HOXB4	0	1.17083910172377	100	0.369463348235818	52.7688730890947	0
NR1D1	0	0	100	0	8.38151759576951	0
NANOGP1	0	0	100	0	15.0293625606431	0
HMX1	0	0	100	0	20.7588587797659	0
LHX3	0	0	100	0	12.7824048198491	0
FOXD3	0	58.4871796709659	100	0	13.7617152035036	0
HOXC9	0	0	100	0	51.7965372640669	0
E2F8	0	0	100	17.6466711422876	3.86407202870878	4.04421193595099
HMX3	0	0	100	0	70.8345774974134	0
CTCFL	0	100	2.78389264267725	24.3882062575295	0	0
CTCF	0	100	0	0.197840450527425	0	0
SOX9	0	100	0	0	0	0
SOX12	0	100	0	0	0	0
SOX4	0	100	10.4064343894639	13.5538942136287	0	0
SOX13	0	100	0	0	0	0
SOX17	0	100	0	0	0.0731714153304695	0
SOX11	0	100	0	0	0	0
SOX30	0	100	0	0	0	0
SRY	0	100	0	0	0	0
SOX3	0	100	0	0	0	0
SOX5	0	100	0	0	0	0
SOX6	0	100	0	0	0	0
TCF7	0	100	34.0857265370505	14.1977032859238	0	0
FOXK2	0	100	0	1.07099311966279	4.60840248007306	0
FOXP1	0	100	0	0.650319311946106	3.94529786266285	0
FOXP4	0	100	0	0.650319311946106	3.94529786266285	0
SOX2	0	100	0	0	0	0
SOX18	0	100	0	0	3.10277754096109	0
SOX15	0	100	0	0	0	0
FOXD4	0	100	0	0	10.1490083253384	0
FOXD4L1	0	100	0	0	10.1490083253384	0
FOXJ1	0	100	0	0	10.1490083253384	0
FOXN3	0	100	0	0	2.95091824341568	0
FOXN2	0	100	0	0	2.95091824341568	0
FOXL2	0	100	0	0	2.95091824341568	0
FOXK1	0	100	0	0	8.54143988678672	0
KIAA0415	0	100	0	0	8.54143988678672	0
FOXJ3	0	100	0	0	0	0
TCF7L2	0	100	36.8550070151773	14.5346162634144	6.05294779348471	0
SOX21	0	100	0	0	17.7377284414324	0
FOXP2	0	100	14.820950029422	3.29424463137694	63.4472090164133	0
SOX7	0	100	0	0	0.705271938400836	0
SOX10	0	100	0	0	46.850244514264	0
CREM	0	100	0	0	0	0
SP4	100	92.106624492796	49.4400861763064	71.6877850277047	0	0
AL8445277	95.841707188119	91.1980897940843	100	25.962915355252	0	0
AL6628245	95.841707188119	91.1980897940843	100	25.962915355252	0	0
CR7597334	95.841707188119	91.1980897940843	100	25.962915355252	0	0
CR3545653	95.841707188119	91.1980897940843	100	25.962915355252	0	0
CR9368773	95.841707188119	91.1980897940843	100	25.962915355252	0	0
TFE3	100	86.1439747220598	0	0	5.94479590266825	0
KLF14	100	86.0547494641916	4.79935985484922	41.1587474033481	0	0
KLF11	100	86.0547494641916	4.79935985484922	41.1587474033481	0	0
KLF4	96.6845428006661	85.416070569038	53.7662481588693	100	0	0
FOXP3	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L3	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L5	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L6	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L4	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L2	0	81.2483933003486	10.1395380162348	0	100	0
SP6	100	78.3023374680724	0	8.91524819516123	0	0
SP5	100	78.3023374680724	0	8.91524819516123	0	0
SP3	58.770354763377	77.2419676345662	26.4006034098786	100	0	98.4772538636527
FOXE3	0	72.1481250900815	4.98786157513279	0	100	0
FOXD1	0	72.1481250900815	4.98786157513279	0	100	0
ZIC4	0	67.323118995639	58.6687739558748	100	0	0
SP8	35.8238622566549	66.0340398076868	31.0794984109697	100	0	66.7891354127215
SP7	35.8238622566549	66.0340398076868	31.0794984109697	100	0	66.7891354127215
SP9	35.8238622566549	66.0340398076868	31.0794984109697	100	0	66.7891354127215
