symbol,LS,Correlation,FDR,mLog10pval,TF,Stage,Cell
NSMCE2,15.1642049974583,0.767334582205005,1.17825535239913e-96,2.16802283716566,SOX13,Not,Oli
DHCR24,13.4004653905238,0.759309963253435,1.63341058594287e-93,3.95921052337255,SOX13,Not,Oli
PHYHIPL,17.0555732167321,0.736430319207764,3.37119561662832e-85,2.17898666749553,SOX13,Not,Oli
AGPAT4,12.666994539423,0.72633956974666,8.41413249646174e-82,2.03487886013731,SOX13,Not,Oli
KMT2E,15.0227886485557,0.721516538640647,3.13227858145646e-80,2.03487886013731,SOX13,Not,Oli
SH3RF1,17.5045698270968,0.703647585914752,1.08360899407049e-74,3.41914192032479,SOX13,Not,Oli
SLIRP,12.4179784745601,0.703162293478323,1.51130264623002e-74,2.0615441415519,SOX13,Not,Oli
PTPDC1,9.93639821984897,0.685203404259409,2.14389482003667e-69,2.00411053317408,SOX13,Not,Oli
CNTNAP4,10.926601823145,0.680893488596961,3.2533843498147e-68,3.0900431759527,SOX13,Not,Oli
ATXN1,10.0473781877747,0.679273092278045,8.93683771932508e-68,2.28422238210105,SOX13,Not,Oli
TMEM229A,14.0963216243318,0.678403518020177,1.53222976953543e-67,2.69281944018579,SOX13,Not,Oli
LURAP1L,9.7683312323975,0.662552789258769,2.0832569872228e-63,2.34944119850732,SOX13,Not,Oli
ZBTB34,10.8946415923954,0.640438946067863,4.76840015188202e-58,2.00411053317408,SOX13,Not,Oli
SLC30A4,10.5494256435451,0.592199769011938,9.10407985219602e-48,2.88805805023372,SOX13,Not,Oli
SALL1,20.3374850918358,0.575064778699549,1.61402939238385e-44,2.45288553965965,SOX13,Not,Oli
SQLE,9.91952001484265,0.574255865929561,2.27265292293072e-44,2.55293761758408,SOX13,Not,Oli
PARP4,11.8678650428922,0.510659409822166,7.17858641419155e-34,2.41181274585346,SOX13,Not,Oli
TMEM123,40.5218439531435,0.943551051134333,3.3795114077941e-238,2.28392065946577,SOX4,Not,Oli
ZKSCAN1,26.2058049790343,0.9249952990214,9.47086139339323e-209,2.03400753509127,SOX4,Not,Oli
GCSH,23.6742835832631,0.924214382986438,1.10623840867189e-207,2.58144500843915,SOX4,Not,Oli
C9orf85,24.4518020907987,0.923641648274984,6.63148767347252e-207,2.45360365546161,SOX4,Not,Oli
BCAS1,31.1710113302646,0.914378213925912,3.90212866769748e-195,3.03723421562738,SOX4,Not,Oli
LINC01170,62.6860060606227,0.903807403215221,3.01428630402688e-183,2.1786424257372,SOX4,Not,Oli
LINC00862,26.3528059615216,0.897493866601924,8.65091246056389e-177,2.02986548881591,SOX4,Not,Oli
RYBP,64.6450069210966,0.895162857870569,1.63430902983465e-174,2.1786424257372,SOX4,Not,Oli
ERMN,55.4188334297082,0.893641114573452,4.694587921667e-173,3.00057549967572,SOX4,Not,Oli
LPAR1,29.6352412617396,0.890573055396188,3.51143782600254e-170,2.11084415054824,SOX4,Not,Oli
LINC00706,52.4330107737996,0.885908348248356,5.70068261306904e-166,2.94414633200794,SOX4,Not,Oli
PRKCQ-AS1,33.6783412974936,0.8858202592025,6.8138209870346e-166,2.28392065946577,SOX4,Not,Oli
ADAMTS18,17.4365269385195,0.885797142803773,7.13935663057993e-166,2.61944648723223,SOX4,Not,Oli
LINC00240,17.1159961217214,0.885732201665183,8.14608703148954e-166,2.11788679491022,SOX4,Not,Oli
ABHD17B,25.6482408004432,0.885033896228235,3.3477341484118e-165,2.33565623648906,SOX4,Not,Oli
ILKAP,35.9850544222826,0.884923671832068,4.18138497256837e-165,2.02986548881591,SOX4,Not,Oli
TMTC4,50.5700188075567,0.884195088322418,1.80617064923723e-164,3.58372198619989,SOX4,Not,Oli
APBB2,55.2393504512598,0.884176218094491,1.87501546494085e-164,2.49828981484848,SOX4,Not,Oli
CYP7B1,40.3110455301569,0.883717847842064,4.6732551573548e-164,2.72070187043047,SOX4,Not,Oli
MUSK,27.0467834152529,0.879097428121941,3.8311569015819e-160,2.22636733775467,SOX4,Not,Oli
MIR100HG,35.1437165526072,0.87707824722933,1.75708979558146e-158,2.32174329461799,SOX4,Not,Oli
PRKCQ,33.9978659322954,0.868549478502865,8.82694448621544e-152,2.21137221034387,SOX4,Not,Oli
BTBD3,29.2850447613043,0.841171746867499,4.1433689130543e-133,2.36693970563551,SOX4,Not,Oli
SCLY,31.1793350346986,0.834627641992627,3.59399762575319e-129,2.02986548881591,SOX4,Not,Oli
TTLL7,26.5323378713063,0.831664565251976,1.91209661792781e-127,3.4881228776625,SOX4,Not,Oli
KLF7,30.3276582012916,0.827054787480273,8.01994135995344e-125,2.52151360539219,SOX4,Not,Oli
ZNF281,19.9829969157487,0.826064726264742,2.86419942013424e-124,2.22636733775467,SOX4,Not,Oli
PEX2,20.2921792611452,0.784937219172777,5.21663844769043e-104,2.58144500843915,SOX4,Not,Oli
CREB3L4,11.3573144596957,0.783769397840325,1.68361061684951e-103,2.25605004186507,SOX4,Not,Oli
TMEM229A,16.4477621862865,0.761542856860797,2.24693567665306e-94,2.33565623648906,SOX4,Not,Oli
FTCDNL1,18.9294491765544,0.759605662378141,1.25767023151812e-93,2.45360365546161,SOX4,Not,Oli
MYH11,19.622269328334,0.757126349396474,1.1128465043664e-92,2.33565623648906,SOX4,Not,Oli
ZNF532,11.5923736181421,0.754951610815528,7.37493689123389e-92,2.61944648723223,SOX4,Not,Oli
BORCS5,28.404635840101,0.749562325009968,7.33690354331217e-90,2.11084415054824,SOX4,Not,Oli
BIRC2,19.5749230945136,0.748367279644792,2.0017361353294e-89,2.46214253489393,SOX4,Not,Oli
AGTPBP1,24.2971782063127,0.747001989614314,6.26428015195553e-89,2.12471971834059,SOX4,Not,Oli
ZFHX4,47.4311029089725,0.743159685129873,1.49400662773121e-87,2.87481806557249,SOX4,Not,Oli
YWHAQ,22.0082663090122,0.741821078084219,4.4506841296727e-87,2.22636733775467,SOX4,Not,Oli
LINC00707,14.3703506257399,0.71362372640054,9.87874758252803e-78,2.56306114233781,SOX4,Not,Oli
ZBTB20-AS5,29.9194015598079,0.694821739897484,4.16301776978297e-72,2.28392065946577,SOX4,Not,Oli
STAG3,12.3914093153492,0.681057382180301,2.93590041365352e-68,2.12471971834059,SOX4,Not,Oli
C19orf25,19.6049235375255,0.65340165259841,3.89681275231235e-61,2.07501444304179,SOX4,Not,Oli
DHX15,16.8928205681304,0.592131113749954,9.3893112585959e-48,2.11881533097092,SOX4,Not,Oli
APP,17.6028155259269,0.576533947342216,8.64451292215356e-45,3.11216070975281,SOX4,Not,Oli
